Название,Текст
"Hope Touch (Хоуп Тач) Надежда","🍊 Аромат: Яркий, свежий, сладкий

dōTERRA Hope Touch — это уникальная смесь эфирных масел, сочетающая свежий аромат бергамота с илангилангом, ладаном и сладкой и теплой нотой абсолюта стручков ванили.  

🌸 Достоинства:

✔️ Яркий, свежий аромат поднимает настроение
✔️ Индивидуальный аромат

🌻 Ингредиенты:

Фракционированное кокосовое масло, плоды бергамота*, цветки иланг-иланга, масло ладана, абсолют стручков ванили *Бергамот без фуранокумаринов не провоцирует чувствительность на солнце.

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ:

❌ Убирает: 

отчаяние, безнадёжность, недолюбленность, травма, стыд

✅ Развивает:

 надежда, мужество, самопринятие, вера, исцеление, возрождение

СПОСОБЫ ПРИМЕНЕНИЯ:  наружный, ароматический

Информация носит ознакомительный характер. Проконсультируйтесь с врачом.
"
"Yarrow Pom  (Тысячелистник | Гранат) ","🍊 Аромат: травянистый, фруктовый, пряный

«Тысячелистник | Гранат» – это разработанная экспертами уникальная смесь эфирного масла тысячелистника и масла гранатовых косточек холодного отжима. Созданная быть вашим верным помощником, она действует изнутри и снаружи, помогая в решении вопросов старения, увеличения жизненной энергии, улучшения общего самочувствия. Проще говоря, это смесь, которая была создана, чтобы помочь вам сиять. Особая смесь компонентов, взаимно усиливающих действие друг друга, естественным образом активирует факторы транскрипции, усиливая действие белков, обеспечивающих защиту кожи (посредством ингибирования энзимов, разрушающих коллаген и снижающих эластичность кожи), одновременно способствуя выработке коллагена.

 При наружном нанесении сильнодействующие растительные компоненты смеси омолаживающе действуют на увядающую кожу, при внутреннем – оказывают влияние на ответную реакцию организма раздражителю и участвуют в поддержании естественной регуляции обмена веществ. При внутреннем применении входящие в состав смеси гранатовая кислота (относящаяся к омега-5 кислотам), антиоксиданты, бета-кариофиллен и хамазулен поддерживают иммунную и нервную системы, способствуют здоровому функционированию клеток, оказывают омолаживающее действие на организм. 

🌸 Достоинства:

✔️ 	Оказывает мощную антиоксидантную поддержку.
✔️ 	Благотворно влияет на иммунную и нервную системы, а также на здоровую жизнедеятельность клеток.
✔️ 	Способствует обмену веществ.
✔️ 	Оказывает расслабляющее воздействие на разум и тело.
✔️ 	Смягчает кожу.

🌻 Ингредиенты:

Масло гранатовых косточек, эфирное масло тысячелистника.

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний

Информация носит ознакомительный характер. Проконсультируйтесь с врачом.
"
"Deep Blue Крем болеутоляющий ","doTERRA Deep Blue™ Крем - это насыщенный крем для местного применения, содержащий успокаивающую смесь сертифицированных чистых эфирных масел Deep Blue. Уникальная смесь натуральных растительных экстрактов и других мощных ингредиентов, входящая в состав крема Deep Blue, обеспечивает приятное ощущение охлаждения и согревания в проблемных зонах. 

Крем Deep Blue, включающий в себя самую популярную смесь эфирных масел грушанки, камфоры, мяты перечной, иланг-иланга, бессмертника, пижмы голубой, голубой ромашки и османтуса, всегда должен быть в вашем шкафчике в ванной или спортивной сумке. Крем Deep Blue изготавливается на основе увлажняющих и смягчающих веществ, которые придают коже мягкость и не оставляют ощущения жирности. Уникальная смесь doTERRA Deep Blue одобрена массажистами и спортсменами, которые активно используют эту смесь в своей практике.

🌷 Применение:

Нанесите на проблемные участки и помассируйте. Для усиления эффекта нанесите на кожу успокаивающую смесь Deep Blue до применения лосьона.

🌸 Достоинства:

✔️ Содержит особую смесь эфирных масел Deep Blue и другие мощные ингредиенты
✔️ Идеально подходящий для активных занятий спортом
✔️ Крем Deep Blue создан на основе увлажняющих смягчающих веществ, которые делают кожу мягкой, не оставляя ощущения жирности 
✔️ Обеспечивает точечное охлаждающее и успокаивающее действие.

🌻 Ингредиенты:

Вода, масло листьев грушанки (Gaultheria procumbens), масло коры камфорного дерева (Cinnamomum camphora), ментол, цетеариловый спирт, масло сладкого миндаля (Prunus amygdalus dulcis), глицерилстеарат, ПЭГ-100 стеарат, масло мяты перечной (Mentha piperita), масло листьев эвкалипта (Eucalyptus globulus), бутилен гликоль, триглицериды каприловой и каприновой кислот, масло иланг-иланга (Cananga odorata), экстракт стручкового перца (Capsicum frutescens), масло цветков голубой ромашки (Chamomilla recutita), масло цветков пижмы голубой (Tanacetum annuum), масло цветков бессмертника (Helichrysum italicum), аллантоин, экстракт плодов гардении (Gardenia florida), экстракт цветков османтуса (Osmanthus fragrans), сок листьев алоэ вера (Aloe Vera),экстракт хлореллы (Chlorella vulgaris), ретинил пальмитат, сквалан, цетеарет-20, гидроксиэтил акрилат/натрия акрилоилдиметил таурат сополимер, диметикон, феноксиэтанол, каприлил гликоль, акрилаты/С10-30 алкил акрилат кроссполимер, ксантановая камедь, этилгексилглицерин, гексилен гликоль, полисорбат 60, мальтодекстрин, пироглутамат натрия, тетранатрия глутамат диацетат.

⚠️ Меры предосторожности

Только для наружного применения. Избегайте попадания в глаза. Избегайте попадания в раны или на поврежденную кожу. Не накладывайте тугую повязку после нанесения и не используйте в сочетании с грелкой. Храните в недоступном для детей месте во избежание случайного проглатывания. При проглатывании немедленно обратитесь за медицинской помощью.
"
"Lifelong Vitality (набор Долгожитель) ","🦋Один из самых популярных продуктов doTERRA, комплекс doTERRA Lifelong Vitality содержит необходимые питательные вещества, компоненты, стимулирующие обмен веществ, и мощные антиоксиданты, которые способствуют хорошему самочувствию, здоровью и долголетию.

🦋Программа doTERRA Lifelong Vitality поможет вам легко и без особых затрат сделать первый шаг на пути к долгой и здоровой жизни.  Наше здоровье, долголетие и жизненная энергия зависят от многих факторов, включая питание, физическую активность, контроль веса, отдых, управление стрессом, воздействие токсинов и унаследованную генетическую предрасположенность к болезням. Хотя мы не можем в полной мере контролировать некоторые из этих факторов, передовые научные исследования показывают, что существует множество способов, с помощью которых мы можем в значительной степени влиять на процессы старения и общее самочувствие. 

🦋Первым и необходимым условием долгой, активной жизни и здорового старения является снабжение клеток необходимыми питательными веществами, а также стимуляция метаболических процессов для оптимального использования этих веществ организмом.

🌻 dōTERRA Alpha CRS+®  Комплекс для повышения клеточной энергии
Комплекс для повышения клеточной энергии Alpha CRS+ компании doTERRA представляет собой особую  формулу с большим количеством эффективных растительных экстрактов, которые поддерживают здоровое функционирование и метаболизм клеток.* Комплекс Alpha CRS+ разработан для ежедневного употребления в сочетании с doTERRA xEO Mega™ или doTERRA xEO Mega™ и Microplex VMz в качестве биодобавки широкого спектра действия, обеспечивающей жизненную активность и здоровье.

🌻 doTERRA xEO Mega - уникальный комплекс, включающий сертифицированные чистые эфирные масла стандарта CPTG и особую смесь омега жирных кислот морского и растительного происхождения. 
Microplex VMz®  Питательный комплекс
doTERRA Microplex VMz– питательный комплекс биодоступных витаминов и минералов, которых недостает в нашем повседневном питании. Комплекс включает сбалансированную смесь основных витаминов А, С и Е, обладающих антиоксидантными свойствами, и энергетический комплекс витаминов группы В, представленных в форме запатентованной гликопротеиновой матрицы.

🌻 Microplex VMz также содержит хелатные формы минералов, в том числе кальций, магний и цинк, для укрепления костной ткани и улучшения обмена веществ.* Microplex VMz включает в себя разработанную doTERRA смесь мяты перечной, имбиря и тмина для чувствительного желудка, на который другие витаминные и минеральные продукты могут оказывать раздражающее действие.* Microplex VMz имеет форму растительных капсул, не содержащих лаурилсульфат натрия.

🌷 Применение:

Принимайте по 1 капсуле каждого продукта 1-3 раза в день xEO Mega, Microplex VMz и Alpha CRS+ в день во время еды.

🌸 Достоинства:

✔️	Оказывает общий оздоравливающий и тонизирующий эффект.
✔️	Оказывает антиоксидантное действие и обеспечивает защиту ДНК.
✔️	Стимулирует обмен веществ.
✔️	Укрепляет здоровье костей.
✔️	Поддерживает иммунитет.
✔️	Помогает бороться со стрессом.
✔️	Поддерживает здоровье сердечно-сосудистой системы.
✔️	Способствует оздоровлению волос, кожи и ногтей.
✔️	Благотворно действует на глаза, мозг и нервную систему.
✔️	Улучшает работу печени и пищеварение.
✔️	Поддерживает здоровье легких и дыхательных путей.
✔️	Не раздражает желудок.
✔️	Не содержит ГМО, глютен и лактозу.

Информация носит ознакомительный характер. 
Проконсультируйтесь с врачом.
"
"dōTERRA Deep Blue® Полифенольный комплекс  ","🍊Полифенольный комплекс Deep Blue представляет собой уникальную смесь экстрактов индийского ладана (Boswellia serrata), куркумы и имбиря. Индийский ладан с давних пор ценится за его расслабляющие свойства, в частности, и используется в традиционных индийских аюрведических практиках. 

🍊Этот комплекс содержит уникальный стандартизированный экстракт Boswellia serrata (не является эфирным маслом), который, как показали клинические исследования, способен поддерживать здоровую работу мышц и суставов и оказывать расслабляющее действие на весь организм.

🍊Как и ладан, куркума веками используется в аюрведических практиках, а также является одним из компонентов знаменитой индийской специи карри. Сегодня расслабляющее влияние куркумы на переутомленные мышцы и суставы признается специалистами во всем мире. Корень имбиря также издавна используется на всей территории Азии как поддерживающее здоровье средство и популярная специя. Имбирь был одной из первых специй, завезенных в Новый Свет, и долгое время использовался как естественное расслабляющее средство.

🦋 Применение:

Принимать 2 капсулы ежедневно во время еды - одну капсулу утром и одну вечером

🌸 Достоинства:

✔️Быстродействующий экстракт ладана, который помогает поддерживать здоровое функционирование мышц и суставов
✔️Включает стандартизированные экстракты имбиря, куркумин, ресвератрол и другие полифенолы, которые помогают облегчить дискомфорт
✔️Может использоваться в тандеме с кремом Deep Blue или успокаивающей смесью Deep Blue
✔️Содержит разработанную doTERRA желудочную смесь мяты перечной, имбиря и семян тмина
✔️Имеет форму растительных капсул, не содержащих лаурилсульфат натрия

🌻 Ингредиенты:

Полифенольный комплекс Deep Blue содержит полифенольные экстракты ладана, куркумы, зеленого чая, имбиря, граната и виноградных косточек и обеспечивает успокаивающий эффект при мышечных болях и других проявлениях дискомфорта.* Используйте комплекс по мере необходимости, когда чувствуете дискомфорт, или применяйте ежедневно в течение длительного времени для постоянной поддержки организма."
"Эвкалипт - смесь 5-ти деревьев ","🌿 Аромат: камфорный, лекарственный, травянистый

В Австралии произрастает более 700 видов эвкалипта — быстрорастущего, цветущего вечнозеленого растения. Относящиеся к семейству миртовых (Myrtaceae), эти растения могут достигать 18 м в высоту и 4,5 м в ширину. 

dōTERRA отобрала пять уникальных видов для создания фирменного масла эвкалипта: Eucalyptus radiata, E. polybractea, E. kochii, E. loxophleba и E. globulus. 

Основным химическим компонентом этих видов является эвкалиптол (1,8-цинеол), который наделяет смесь эфирных масел многочисленными полезными свойствами. Камфорный, травянистый аромат наполняет энергией. Кроме того, благодаря основному компоненту масла, 1,8-цинеолу, эвкалипт обладает очищающими свойствами. В составе ароматерапии или при местном применении облегчает дыхание и приносит ощущение свежести. Масло эвкалипта идеально подходит для использования во время расслабляющего массажа.

🌸 Достоинства:

✔️Дарит ощущение расслабления во время стрессовых ситуаций
✔️Обладает очищающими свойствами благодаря основному компоненту 1,8-цинеолу
✔️Обладает охлаждающим эффектом, способствует облегчению дыхания

🌻 Ингредиенты:
Eucalyptus radiata, Eucalytus polybractea, Eucalyptus kochii, Eucalyptus loxlophleba, Eucalyptus globulus

🌷 Применение:

✔️Распылите или нанесите несколько капель на руки, поднесите их к лицу и глубоко вдохните.
✔️Нанесите одну–две капли на пол душевой кабины, чтобы воссоздать атмосферу спа-салона.
✔️Добавьте в базовое масло или лосьон для расслабляющего массажа.
✔️Используйте в качестве освежителя воздуха и дезодорирующего средства для помещений.

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный

Информация носит ознакомительный характер. Проконсультируйтесь с врачом.
"
"SuperMint - мятная смесь эфирных масел","🌿Аромат: травянистый, сладкий 

Смесь SuperMint отличается ярким, свежим, великолепным ароматом и включает в себя сертифицированные чистые эфирные масла подтвержденного качества: мяты перечной, мяты японской, мяты лимонной и мяты колосистой (садовой). 

При распылении или местном применении смесь SuperMint дарит бодрящий, заряжающий энергией аромат и поднимает настроение, поэтому она идеально подходит для повышения концентрации и выносливости. Ментол, основной компонент SuperMint, создает ощущение прохлады, что способствует облегчению дыхания. 

При нанесении на кожу во время массажа охлаждающий эффект помогает расслабиться и успокоить кожу. Эта смесь дополняющих друг друга масел также освежает дыхание, а при приеме внутрь помогает поддержать здоровье пищеварительной системы.

🌸 Достоинства:

✔️Смесь эфирных масел мяты перечной, мяты японской, мяты лимонной и мяты колосистой (садовой) обладает расслабляющим, мятным, травянистым и сладковатым ароматом.
✔️Создает атмосферу, которая поддерживает ясность сознания и повышает выносливость
✔️Умиротворяет и расслабляет при использовании во время массажа
✔️Обладает охлаждающим эффектом, способствует облегчению дыхания

🌻 Ингредиенты:
Peppermint, Japanese Mint, Bergamot Mint, Spearmint

🌷 Применение:

✔️Распыляйте смесь с помощью вашего любимого диффузора dōTERRA в течение дня, чтобы наслаждаться восхитительным ароматом.
✔️Распылите в офисе или автомобиле, чтобы создать атмосферу свежести.
✔️Разотрите одну–две капли в ладонях, поднесите к лицу и вдохните, чтобы получить заряд бодрости.
✔️Добавьте в лосьон для рук и тела dōTERRA Spa перед расслабляющим массажем. 
✔️ Добавьте одну каплю в стакан воды и полоскайте ей рот, чтобы освежить дыхание.


СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный

Информация носит ознакомительный характер. Проконсультируйтесь с врачом.
"
"Гваяковое дерево ","🌿 Аромат: землистый, древесный, сладкий

Гваяковое дерево веками применялось коренными американцами в медитативных практиках и оздоровительных церемониях. Кроме того, оно часто используется в парфюмерных изделиях и средствах по уходу за кожей. 

Эфирное масло, полученное методом паровой дистилляции из сердцевины гваякового дерева Bulnesia sarmientoi, обладает землистым, расслабляющим ароматом с едва уловимыми сладковатыми нотками. Масло гваякового дерева при смешивании с базовым маслом подходит как для местного применения, так и для ароматерапии. Его древесный аромат создает умиротворяющую, безмятежную атмосферу.

Сертифицированное по CPTG® эфирное масло гваякового дерева dōTERRA производится этическим и экологически безопасным способом в Парагвае. Сотрудничая с партнером по работе с поставщиками, мы помогаем сохранить находящийся под угрозой лес Гран-Чако, который считается одним из самых биологически разнообразных регионов в мире

🌸 Достоинства:

✔️Обладает умиротворяющим ароматом
✔️Способствует созданию спокойной атмосферы, подходящей для медитации
✔️Облегчает раздражение кожи
✔️Способствует естественному увлажнению кожи

🌻 Ингредиенты:
Fractionated Coconut Oil, Guaiacwood

🌷 Применение:

✔️Нанесите одну–две капли на нужную область, чтобы успокоить раздраженную кожу и обеспечить естественное увлажнение.
✔️Распыляйте в течение дня, а также во время медитации или занятий йогой, чтобы создать подходящую атмосферу.

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный

Информация носит ознакомительный характер. Проконсультируйтесь с врачом.
"
"Шалфей испанский ","🌿Аромат: камфорный, травянистый

Шалфей испанский обладает восхитительным ароматом, который освежает, поднимает настроение и успокаивает. Этот небольшой вечнозеленый кустарник с давних времен произрастает в Испании и Франции. Аромат сертифицированного по CPTG® эфирного масла шалфея испанского - травянистый, с нотками камфоры, напоминающий аромат шалфея лекарственного. 

При распылении масло создает бодрящую атмосферу, способствующую улучшению памяти и когнитивных способностей. При приеме внутрь шалфей испанский помогает сохранить расслабление и сосредоточение.

🔸Камфора и 1,8-цинеол - основные химические составляющие эфирного масла шалфея испанского - делают его идеальным средством для расслабляющего массажа после тренировок или массажа глубоких тканей.

🌸 Достоинства:

✔️При приеме внутрь помогает сохранить расслабление и сосредоточение
✔️Обладает умиротворяющим и поднимающим настроение ароматом
✔️Помогает создать позитивную атмосферу, способствующую концентрации внимания и сосредоточенности
✔️При распылении создает атмосферу, способствующую улучшению памяти и когнитивных способностей

🌷 Применение:

✔️Добавьте в ваш любимый диффузор во время занятий или для максимальной концентрации.
✔️Принимайте внутрь, добавив в воду (1 капля на литр) перед важным экзаменом или тренингом.
✔️Добавьте в базовое масло или крем для достижения большей эффективности массажа глубоких тканей.

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний 

Информация носит ознакомительный характер. Проконсультируйтесь с врачом.
"
"MetaPWR - Смесь для улучшения обмена веществ ","🍊 Аромат: цитрусовый, пряный, мятный, сладкий

Разработанная совместно с клиническими исследователями компании dōTERRA, смесь для улучшения обмена веществ MetaPWR™ содержит сбалансированное соотношение сертифицированных чистых эфирных масел подтвержденного качества®: грейпфрута, лимона, мяты перечной, имбиря и коры корицы. Смесь MetaPWR™ предназначена для приема внутрь и может стать важной частью ежедневного поддержания нормального обмена веществ.

Согласно неопубликованному доклиническому исследованию смесь для улучшения обмена веществ при приеме внутрь может воздействовать на жировые клетки и уменьшать их количество, однако для окончательных выводов необходимы дополнительные клинические исследования. При приеме смеси MetaPWR™ внутрь ее важный химический компонент лимонен может способствовать нормальному обмена веществ.

Было доказано, что употребление эфирного масла мяты перечной, входящего в состав MetaPWR™, снижает аппетит и улучшает физическую работоспособность. Цитрусовый и пряный аромат MetaPWR™ с мятными нотками создает мотивирующую, бодрящую атмосферу. Смесь для улучшения обмена веществ MetaPWR™, являющаяся частью программы MetaPWR™, поможет вам придерживаться здорового образа жизни, направленного на восстановление энергии и жизненных сил, поддержание обмена веществ, контроль веса, и в конечном итоге на увеличение продолжительности жизни

🌸 Достоинства:

✔️При приеме внутрь нормализует обмен веществ
✔️При приеме внутрь способствует уменьшению количества жировых клеток
✔️Уменьшает чувство голода и помогает следовать принципам осознанного питания
✔️Улучшает физическую работоспособность
✔️Создает бодрящую, мотивирующую атмосферу

🌻 Ингредиенты:
Эфирные масла грейпфрута, лимона, мяты перечной, имбиря и коры корицы.

🌷 Применение:

✔️Распылите или нанесите несколько капель на ладони, поднесите их к лицу и глубоко вдохните — это поможет создать мотивирующую атмосферу, идеально подходящую для тренировок.
✔️Добавьте в базовое масло или лосьон во время тонизирующего массажа.
✔️Принимайте внутрь, чтобы уменьшить чувство голода

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный, внутренний

Информация носит ознакомительный характер. Проконсультируйтесь с врачом.
"
"Мадагаскарская ваниль ","🍊 Аромат: сладкий, бальзамово-ванильный, нежный, теплый, манящий

🌱  Многолетняя вьющаяся лиана высотой до 25 метров с зелеными побегами и крупными белыми цветами. Зеленые стручки собирают после того, как они провисят на дереве в течение восьми-девяти месяцев, затем высушивают в течение шести месяцев, в результате чего на поверхности стручков выступает белый кристаллический налет.

🔸 Химический состав - более 150 компонентов, основные: ванилин, уксусная кислота, гидроксибензальдегид, евгенол, фурфурол

ВОЗДЕЙСТВИЕ НА ФИЗИЧЕСКОМ УРОВНЕ:

✔️нормализует процессы пищеварения
✔️нормализует ферментативно-кислотный состав желудочного сока
✔️способствует расщеплению и утилизации углеводов в организме
✔️регулирует и нормализует менструальный цикл 
✔️облегчает, обезболивает предменструальный синдром
✔️антидот алкоголя (вызывает отвращение к алкоголю)

ВОЗДЕЙСТВИЕ НА ЭМОЦИОНАЛЬНОМ УРОВНЕ:

Успокаивает, устраняет бессонницу, укрощает в гневе. На психическом уровне ваниль дает энергию. На бессознательном уровне напоминает запах грудного молока и вызывает чувство безопасности. Оживляет, гармонизирует энергетику семьи. Масло, помогающее услышать то, что говорит собеседник и встать на место человека, с которым Вы общаетесь.

СПОСОБЫ ПРИМЕНЕНИЯ:
наружный, ароматический

Информация носит ознакомительный характер. Проконсультируйтесь с врачом.
"
"Air-X освежающая смесь ","🍊 Аромат: яркий, сладкий

Приятный сладкий аромат смеси Air-X вернет вам ясность мыслей и поднимет настроение, наполнив ваш дом свежестью. В состав смеси входят натуральные эфирные масла литсеи, танжерина, грейпфрута, ладана и кардамона. Air-X освежает воздух, наполняя его яркими цитрусовыми и древесными ароматами с травянистыми нотками. 

По данным экспериментальных исследований, эфирное масло литсеи, входящей в состав смеси, успокаивает и способствует ясности мышления. Также результаты первых исследований показывают, что лимонен ― один из главных компонентов смеси Air-X ― обладает очищающими свойствами.

🌸 Достоинства:

✔️Освежающий и улучшающий настроение аромат
✔️Наполнит ваш дом или офис свежестью
✔️Способствует ясности мышления
✔️Может оказывать очищающее действие

🌻 Ингредиенты:

Эфирные масла: литсея, танжерин, грейпфрут, ладан, кардамон.

🦋 Применение:

✔️Распылите для ощущения свежести.
✔️Нанесите на ваш любимый аромакулон или аромабраслет из вулканического камня.

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический

Информация носит ознакомительный характер. Проконсультируйтесь с врачом.
"
"Northern Escape смесь масел ","🍊 Аромат: xвойный, пряный, с нотками свежести

Смесь dōTERRA Northern Escape заряжает жизненной энергией. Вдыхая ароматы леса и свежей зелени, вы забудете о суете повседневной жизни. Почувствуйте несравнимую гармонию ароматов черной ели, сибирской пихты, бальзама ели, голландской лаванды, кедра, кипариса, кипарисовика туполистного, ладана, кипариса нутканского, иланг-иланга и гвоздики — эфирных масел, входящих в фирменный состав смеси. 

dōTERRA Northern Escape наполнит воздух знакомыми, но вместе с тем удивительными запахами природы, напоминающими о мире, где время не имеет значения. Согласно научным данным аромат голландской лаванды оказывает расслабляющее действие, а ароматы сибирской ели и кипарисовика туполистного ― стимулирующее. По результатам лабораторных исследований масел, входящих в состав Northern Escape, смесь также обладает полезными очищающими свойствами.

🌸 Достоинства:

✔️ Обладает успокаивающим и вдохновляющим ароматом
✔️Наполнит ваш дом или офис свежестью
✔️Помогает создать спокойную приятную атмосферу

🌻 Ингредиенты:

 эфирные масла черной ели, сибирской пихты, бальзама ели, голландской лаванды, кедра, кипариса, кипарисовика туполистного, ладана,
кипариса нутканского, иланг-иланга и гвоздики

🦋 Применение:

✔️Для улучшения настроения и очищения воздуха использовать 3–4 капли в день в диффузоре. 
✔️Для успокаивающего массажа смешайте с фракционированным кокосовым маслом
✔️Добавьте в очищающие средства для кожи или в бытовые чистящие средства

СПОСОБЫ ПРИМЕНЕНИЯ: ароматический, наружный

Информация носит ознакомительный характер. Проконсультируйтесь с врачом.
"
"DigestZen®, в капсулах  Digestive Blend","🍊 Смесь DigestZen содержит уникальную комбинацию имбиря, мяты, тмина, аниса, кориандра, эстрагона и фенхеля для поддержания пищеварения и устранения легкого или периодического желудочного дискомфорта мягким, естественным способом. 

Эта замечательная смесь представлена в форме легко растворяющихся растительных капсул.* Капсулы DigestZen - удобные капсулы, которые идеально подходят для использования смеси эфирных масел DigestZen в любом месте и в любое время.

🌸 Достоинства:
✔️ Помогает перевариванию пищи
✔️Облегчает чувство дискомфорта в желудке
✔️Поддерживает здоровье ЖКТ и пищеварительной системы

🌻 Ингредиенты:
✔️Корень имбиря: помогает устранить легкий или периодический желудочный дискомфорт
✔️Мята перечная: поддерживает здоровое функционирование желудочно-кишечного тракта и поддерживает пищеварение
✔️Семена тмина: поддерживают здоровье желудочно-кишечного тракта и помогают облегчить чувство дискомфорта в желудке
✔️Семена кориандра: поддерживают здоровому пищеварению
✔️Плоды/семена аниса: поддерживают здоровому пищеварению
✔️Плоды/семена эстрагона: поддерживают здоровому пищеварению
✔️Семена фенхеля: поддерживают здоровое пищеварение и обмен веществ

Вспомогательные ингредиенты:
Оливковое масло первого отжима, кукурузный крахмал, не содержащий ГМО, глицерин, каррагинан, мальтит, очищенная вода.

🦋 Применение:
Принимайте по одной капсуле один или более раз в день по мере необходимости.

СПОСОБЫ ПРИМЕНЕНИЯ: внутренний

Информация носит ознакомительный характер. Проконсультируйтесь с врачом.
"
